verdict	cle	chambre	amendement	sort	auteur	dossier	article	segment	longueur_fenetre	vise	nb_segments_fenetre	fenetre	dispositif	segment_texte	url
juste	a3011dbe27da8aa3	senat	158 rect.	Adopté	Mme DINI	JORFDOLE000026795365	L331-3-1	LEGIARTI000027783213:3	60	sans visée	2	le déblocage des allocations de logement s'effectue dans les	I. – Alinéas 7 et 8 Remplacer ces alinéas par trois alinéas ainsi rédigés : - la première phrase est complétée par les mots : « et aux allocations de logement » ; - la seconde phrase est ainsi rédigée : « Le déblocage des allocations de logement s’effectue dans les conditions prévues aux articles L. 542‑7‑1 et L. 831‑8 du code de la sécurité sociale. » ; II. – Alinéa 10 1° Première phrase Remplace […]	La décision déclarant la recevabilité de la demande emporte rétablissement des droits à l'aide personnalisée au logement et aux allocations de logement. Le déblocage des allocations de logement s'effectue dans les conditions prévues aux articles L. 542-7-1 et L. 831-8 du code de la sécurité sociale.	//www.senat.fr/amendements/2012-2013/423/Amdt_158.html
juste	a45a1eb9a929751c	assemblee	30	Adopté	M. Jean-Louis Bricout	JORFDOLE000027383756	L121-110	LEGIARTI000028741266:0	60	sans visée	1	rojet de modification des conditions contractuelles à l'init	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en v […]	Tout projet de modification des conditions contractuelles à l'initiative du professionnel est communiqué par écrit par ce professionnel au consommateur au moins un mois avant son entrée en vigueur, assorti de l'information, énoncée de manière claire, précise et visible, selon laquelle ce dernier peut, tant qu'il n'a pas expressément accepté les nouvelles conditions, résilier le contrat, sans pénal […]	
juste	a847f539fb112208	assemblee	641	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-42	LEGIARTI000028744497:2	60	sans visée	1	rateur en relation contractuelle avec le consommateur l'info	I. – Après l’article L. 121‑41 du code de la consommation, la section 7 est ainsi rédigée : « Section 7 « Achats par l’intermédiaire des opérateurs de communications électroniques « Art. L. 121‑42. – L’opérateur de communications électroniques, au sens du 6° de l’article L. 32 du code des postes et des communications électroniques, exploitant un numéro à valeur ajoutée, son abonné auquel ce numéro […]	L'opérateur en relation contractuelle avec le consommateur l'informe, sur son site internet, de l'existence de cet outil et des moyens permettant d'y accéder.	
juste	a9aeeae80dddcc62	assemblee	30	Adopté	M. Jean-Louis Bricout	JORFDOLE000027383756	L121-107	LEGIARTI000028741260:2	60	sans visée	1	escription des produits et des services contractuels et les	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en v […]	2° La description des produits et des services contractuels et les délais nécessaires pour en assurer la livraison ou la prestation ;	
juste	aa3d39dfdb5a95b1	senat	10	Adopté	LE GOUVERNEMENT	JORFDOLE000041566073	L521-3-1	LEGIARTI000042615686:3	60	sans visée	1	les adresses électroniques des interfaces en ligne dont les	Rétablir cet article dans la rédaction suivante : Le livre V du code de la consommation est ainsi modifié : 1° Après l’article L. 521‑3, il est inséré un article L. 521‑3‑1 ainsi rédigé : « Art. L. 521‑3‑1. – Lorsque les agents habilités constatent, avec les pouvoirs du présent livre, une infraction ou un manquement à partir d’une interface en ligne et que l’auteur de la pratique ne peut être iden […]	a) Notifier aux personnes relevant du I de l'article L. 111-7 du présent code les adresses électroniques des interfaces en ligne dont les contenus sont manifestement illicites pour qu'elles prennent toute mesure utile destinée à faire cesser leur référencement ;	//www.senat.fr/amendements/2019-2020/553/Amdt_10.html
juste	aa9f167e211784f7	senat	229 rect.	Adopté	LE GOUVERNEMENT	JORFDOLE000021369332	L122-1	LEGIARTI000024039761:0	60	oui	1	dès lors que cette subordination constitue une pratique comm	Après l'article 26, insérer un article additionnel ainsi rédigé : Le code de la consommation est ainsi modifié : 1° Les 1°, 4° et 5° de l'article L. 115-30 sont abrogés ; 2° Le dernier alinéa de l'article L. 121-8 est supprimé ; 3° Le premier alinéa de l'article L. 121-35 est complété par les mots : « dès lors que la pratique en cause revêt un caractère déloyal au sens de l'article L. 120-1 » ; 4° […]	Il est interdit de refuser à un consommateur la vente d'un produit ou la prestation d'un service, sauf motif légitime, et de subordonner la vente d'un produit à l'achat d'une quantité imposée ou à l'achat concomitant d'un autre produit ou d'un autre service ainsi que de subordonner la prestation d'un service à celle d'un autre service ou à l'achat d'un produit dès lors que cette subordination cons […]	//www.senat.fr/amendements/2010-2011/21/Amdt_229.html
juste	abd91080b8b9ccde	senat	525	Adopté	Mme BATAILLE	JORFDOLE000027383756	L121-34-2	LEGIARTI000028742080:2	60	sans visée	1	tion des communications électroniques et des postes, définit	Après l’alinéa 79 Insérer deux alinéas ainsi rédigés : « Le numéro affiché avant l’établissement de l’appel en application du premier alinéa est affecté au professionnel pour le compte duquel l’appel est effectué. En cas de rappel du consommateur à ce numéro, ce professionnel s’identifie préalablement à la facturation de toute prestation de service autre que le prix de la communication. « Un arrêt […]	Un arrêté conjoint des ministres chargés de la consommation et de l'économie numérique, pris après avis de l'Autorité de régulation des communications électroniques et des postes, définit les tranches de numéro qui ne peuvent être utilisées comme identifiant d'appel par un professionnel qui joint un consommateur, en tenant compte du plafond de tarification et du format de ces numéros.	//www.senat.fr/amendements/2012-2013/810/Amdt_525.html
juste	ac6282c12d5347a0	assemblee	526	Adopté	LE GOUVERNEMENT	JORFDOLE000027383756	L312-9	LEGIARTI000028748108:0	60	sans visée	2	de survenance d'un des risques que ce contrat définit, soit	Rédiger ainsi cet article : « I. – L’article L. 312‑9 du code de la consommation, dans sa rédaction issue de la loi n° 2013‑672 du 26 juillet 2013 de séparation et de régulation des activités bancaires, est ainsi modifié : « a) Au premier alinéa, les mots : « l’adhésion à » et les mots : « de groupe qu’il a souscrit » sont supprimés. « b) Au troisième alinéa, le mot : « ou » est remplacé par le si […]	Lorsque le prêteur propose à l'emprunteur un contrat d'assurance en vue de garantir en cas de survenance d'un des risques que ce contrat définit, soit le remboursement total ou partiel du montant du prêt restant dû, soit le paiement de tout ou partie des échéances dudit prêt, les dispositions suivantes sont obligatoirement appliquées :	
juste	acd183121d9e0297	senat	229 rect.	Adopté	LE GOUVERNEMENT	JORFDOLE000021369332	L122-3	LEGIARTI000024039758:1	60	oui	1	ion de cette interdiction est punie des peines prévues aux a	Après l'article 26, insérer un article additionnel ainsi rédigé : Le code de la consommation est ainsi modifié : 1° Les 1°, 4° et 5° de l'article L. 115-30 sont abrogés ; 2° Le dernier alinéa de l'article L. 121-8 est supprimé ; 3° Le premier alinéa de l'article L. 121-35 est complété par les mots : « dès lors que la pratique en cause revêt un caractère déloyal au sens de l'article L. 120-1 » ; 4° […]	La violation de cette interdiction est punie des peines prévues aux articles L. 122-12 à L. 122-14.	//www.senat.fr/amendements/2010-2011/21/Amdt_229.html
juste	ad5ab9f63ce6421e	senat	2171	Adopté	LE GOUVERNEMENT	JORFDOLE000043113774	L315-9	LEGIARTI000043977203:3	60	sans visée	1	dans le cas d'un prêt avance mutation, l'estimation peut êtr	I. – Alinéa 2 Rédiger ainsi cet alinéa : « 4° Les prêts avance mutation définis à l’article L. 315‑2 du code de la consommation et destinés à la réalisation de travaux permettant d’améliorer la performance énergétique du logement. La garantie ne peut couvrir la totalité du prêt et des intérêts. Le décret mentionné au IV fixe notamment des conditions de ressources pour les personnes bénéficiant de  […]	3° La valeur du bien hypothéqué estimée par un expert choisi par les parties et les frais afférents à l'expertise, lorsqu'ils sont mis à la charge de l'emprunteur. Dans le cas d'un prêt avance mutation, l'estimation peut être réalisée par l'établissement prêteur ;	//www.senat.fr/amendements/2020-2021/667/Amdt_2171.html
juste	ad68c712792a2340	senat	10	Adopté	LE GOUVERNEMENT	JORFDOLE000041566073	L521-3-1	LEGIARTI000042615686:6	60	sans visée	1	élai, fixé par l'autorité administrative, qui ne peut être i	Rétablir cet article dans la rédaction suivante : Le livre V du code de la consommation est ainsi modifié : 1° Après l’article L. 521‑3, il est inséré un article L. 521‑3‑1 ainsi rédigé : « Art. L. 521‑3‑1. – Lorsque les agents habilités constatent, avec les pouvoirs du présent livre, une infraction ou un manquement à partir d’une interface en ligne et que l’auteur de la pratique ne peut être iden […]	Ces mesures sont mises en œuvre dans un délai, fixé par l'autorité administrative, qui ne peut être inférieur à quarante-huit heures.	//www.senat.fr/amendements/2019-2020/553/Amdt_10.html
juste	addd74a85ea023e7	assemblee	30	Adopté	M. Jean-Louis Bricout	JORFDOLE000027383756	L121-107	LEGIARTI000028741260:1	60	sans visée	1	'identité du professionnel, ses adresses postale et électron	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en v […]	1° L'identité du professionnel, ses adresses postale et électronique, ses coordonnées téléphoniques ainsi que celles de son site internet s'il en dispose ;	
juste	aeb9b03782830d3b	senat	158	Adopté	Mme LOISIER	JORFDOLE000043701629	L412-11	LEGIARTI000044224587:0	60	sans visée	1	s les établissements titulaires d'une licence de débit de bo	I. – Alinéa 4 Remplacer cet alinéa par quatre alinéas ainsi rédigés : b) Les deuxième à avant-dernier alinéas sont ainsi rédigés : « Le consommateur est informé, au moyen de l’étiquetage, de l’origine du cacao des produits à base de cacao et de chocolat et de l’origine de la gelée royale. « Il est également informé de tous les pays d’origine des miels composant un mélange de miels en provenance de […]	Dans les établissements titulaires d'une licence de débit de boissons à consommer sur place ou à emporter ou d'une licence de restaurant, les consommateurs sont informés, par un affichage lisible sur les menus, les cartes des vins ou tout autre support, de la provenance et, le cas échéant, de la dénomination de l'appellation d'origine protégée ou de l'indication géographique protégée des vins mis  […]	//www.senat.fr/amendements/2020-2021/829/Amdt_158.html
juste	afac497351ca9961	senat	2171	Adopté	LE GOUVERNEMENT	JORFDOLE000043113774	L315-3	LEGIARTI000043977228:0	60	sans visée	1	prêt viager hypothécaire et le prêt avance mutation ne peuve	I. – Alinéa 2 Rédiger ainsi cet alinéa : « 4° Les prêts avance mutation définis à l’article L. 315‑2 du code de la consommation et destinés à la réalisation de travaux permettant d’améliorer la performance énergétique du logement. La garantie ne peut couvrir la totalité du prêt et des intérêts. Le décret mentionné au IV fixe notamment des conditions de ressources pour les personnes bénéficiant de  […]	Le prêt viager hypothécaire et le prêt avance mutation ne peuvent être destinés à financer les besoins d'une activité professionnelle.	//www.senat.fr/amendements/2020-2021/667/Amdt_2171.html
juste	afc1f24c8d376d9b	assemblee	2	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-34	LEGIARTI000028747663:6	60	oui	1	dictions prévues aux deuxième et quatrième alinéas ne s'appl	I. - Supprimer les alinéas 70 à 77 et l’alinéa 129 ; II. – A l’alinéa 78, remplacer la référence « L. 121-20-2 » par la référence « L. 121-20-1 » ; III. – A l’alinéa 79, remplacer la référence « L. 121-20-3 » par la référence « L. 121-20-2 » ; IV. - Compléter l’article 5 par les alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigé : « Section 4 « Régime d’opposition au dé […]	Les interdictions prévues aux deuxième et quatrième alinéas ne s'appliquent pas à la prospection en vue de la fourniture de journaux, de périodiques ou de magazines.	
juste	aff88beb1d2c2529	assemblee	2	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-34	LEGIARTI000028747663:2	60	oui	1	n professionnel est amené à recueillir auprès d'un consommat	I. - Supprimer les alinéas 70 à 77 et l’alinéa 129 ; II. – A l’alinéa 78, remplacer la référence « L. 121-20-2 » par la référence « L. 121-20-1 » ; III. – A l’alinéa 79, remplacer la référence « L. 121-20-3 » par la référence « L. 121-20-2 » ; IV. - Compléter l’article 5 par les alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigé : « Section 4 « Régime d’opposition au dé […]	Lorsqu'un professionnel est amené à recueillir auprès d'un consommateur des données téléphoniques, il l'informe de son droit à s'inscrire sur la liste d'opposition au démarchage téléphonique. Lorsque ce recueil d'information se fait à l'occasion de la conclusion d'un contrat, le contrat mentionne, de manière claire et compréhensible, l'existence de ce droit pour le consommateur.	
juste	b01f32650159f773	assemblee	539	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-34	LEGIARTI000028747663:1	60	sans visée	1	l est interdit à un professionnel, directement ou par l'inte	Compléter cet article par les douze alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigée : « Section 4 « Régime d’opposition au démarchage téléphonique « Art. L. 121‑34. – Le consommateur qui ne souhaite pas faire l’objet de prospection commerciale par voie téléphonique peut gratuitement s’inscrire sur une liste d’opposition au démarchage téléphonique. « Il est interdit  […]	Il est interdit à un professionnel, directement ou par l'intermédiaire d'un tiers agissant pour son compte, de démarcher téléphoniquement un consommateur inscrit sur cette liste, sauf en cas de relations contractuelles préexistantes.	
faux	b0eea0d53eed9f21	assemblee	377	Adopté	Mme Jeanine Dubié	JORFDOLE000027383756	L121-49	LEGIARTI000029947799:1	60	sans visée	1	sont recherchés et constatés dans les conditions prévues au	Substituer à l’alinéa 11 les deux alinéas suivants : « Art. L. 731‑3. – Tout manquement à l’article L. 731‑2 est passible d’une amende administrative dont le montant ne peut excéder 100 000 euros. L’amende est prononcée par l’autorité administrative chargée de la concurrence et de la consommation dans les conditions prévues à l’article L. 141‑1‑2 du code de la consommation « Art. L. 731‑4. – Les m […]	Les manquements à la présente section sont recherchés et constatés dans les conditions prévues au I de l'article L. 141-1.	
juste	b14f4ef707395ff4	senat	365	Adopté	M. LORIDANT	JORFDOLE000017760141	L331-3	LEGIARTI000006292631:5	60	oui	1	l'information des établissements de crédit et des comptables	Après le 3° du IV de cet article, insérer un paragraphe ainsi rédigé : … Le sixième alinéa de l'article L. 331-3 du code de la consommation est complété par la phrase suivante : « L'information des établissements de crédit et des comptables du Trésor peut être effectuée par télécopie ou par courrier électronique dans des conditions fixées par décret. »	Après avoir été informés par la commission de l'état du passif déclaré par le débiteur, les créanciers disposent d'un délai de trente jours pour fournir, en cas de désaccord sur cet état, les justifications de leurs créances en principal, intérêts et accessoires. A défaut, la créance est prise en compte par la commission au vu des seuls éléments fournis par le débiteur. L'information des établisse […]	//www.senat.fr/amendements/2002-2003/398/Amdt_365.html
juste	b1543acc73ca184a	senat	112	Adopté	M. MARINI	JORFDOLE000017760197	L311-4	LEGIARTI000006292383:2	60	oui	1	er le montant, en euros, des remboursements par échéance ou,	Après l'article 59, insérer un article additionnel ainsi rédigé : Le code de la consommation est ainsi modifié : I. - L'article L. 311-4 est ainsi rédigé : « Art. L. 311-4 . – Toute publicité faite, reçue ou perçue en France qui, quel que soit son support, porte sur l'une des opérations de crédit à la consommation visées à l'article L. 311-2, est loyale et informative. Son contenu doit : « 1º Préc […]	2° Préciser le montant, en euros, des remboursements par échéance ou, en cas d'impossibilité, le moyen de le déterminer. Ce montant inclut le coût de l'assurance lorsque celle-ci est obligatoire pour obtenir le financement et, le cas échéant, le coût des perceptions forfaitaires ;	//www.senat.fr/amendements/2002-2003/166/Amdt_112.html
juste	b15c0a191ae2e187	senat	10	Adopté	LE GOUVERNEMENT	JORFDOLE000041566073	L521-3-1	LEGIARTI000042615686:7	60	sans visée	1	rface en ligne s'entend de tout logiciel, y compris un site	Rétablir cet article dans la rédaction suivante : Le livre V du code de la consommation est ainsi modifié : 1° Après l’article L. 521‑3, il est inséré un article L. 521‑3‑1 ainsi rédigé : « Art. L. 521‑3‑1. – Lorsque les agents habilités constatent, avec les pouvoirs du présent livre, une infraction ou un manquement à partir d’une interface en ligne et que l’auteur de la pratique ne peut être iden […]	Une interface en ligne s'entend de tout logiciel, y compris un site internet, une partie de site internet ou une application, exploité par un professionnel ou pour son compte et permettant aux utilisateurs finals d'accéder aux biens ou aux services qu'il propose.	//www.senat.fr/amendements/2019-2020/553/Amdt_10.html
juste	b176d5ae9c448179	senat	112	Adopté	M. MARINI	JORFDOLE000017760197	L311-4	LEGIARTI000006292383:5	60	oui	1	entraîne une augmentation de ressources ou accorde une réser	Après l'article 59, insérer un article additionnel ainsi rédigé : Le code de la consommation est ainsi modifié : I. - L'article L. 311-4 est ainsi rédigé : « Art. L. 311-4 . – Toute publicité faite, reçue ou perçue en France qui, quel que soit son support, porte sur l'une des opérations de crédit à la consommation visées à l'article L. 311-2, est loyale et informative. Son contenu doit : « 1º Préc […]	Il est interdit, dans toute publicité, quel que soit le support utilisé, d'indiquer qu'un prêt peut être octroyé sans élément d'information permettant d'apprécier la situation financière de l'emprunteur, ou de suggérer que le prêt entraîne une augmentation de ressources ou accorde une réserve automatique d'argent immédiatement disponible, sans contrepartie financière identifiable.	//www.senat.fr/amendements/2002-2003/166/Amdt_112.html
juste	b19653a74f099670	assemblee	95	Adopté	M. Laurent Grandguillaume	JORFDOLE000027383756	L311-5	LEGIARTI000028748025:2	60	sans visée	1	lorsqu'une publicité compare le montant des échéances d'un o	Le troisième alinéa de l’article L. 311‑5 du code de la consommation est complété par une phrase ainsi rédigée : « Lorsqu’une publicité compare le montant des échéances d’un ou plusieurs crédits antérieurs, et le cas échéant d’autres dettes, à celui d’une échéance résultant d’une opération de regroupement de crédits, elle mentionne de manière claire et apparente d’une part la somme des coûts totau […]	Il est interdit dans toute publicité d'indiquer qu'une opération ou un contrat de crédit, ou une opération de crédit consistant à regrouper des crédits antérieurs peut être consenti sans élément d'information permettant d'apprécier la situation financière de l'emprunteur, ou de laisser entendre que le prêt améliore la situation financière ou le budget de l'emprunteur, entraîne une augmentation de  […]	
juste	b2ef61dd997a6d15	senat	174	Adopté	M. GONTARD	JORFDOLE000038746653	L120-2	LEGIARTI000041557387:1	60	sans visée	1	t consommateur final peut demander à être servi dans un cont	Après l'article 5 Insérer un article additionnel ainsi rédigé : Le titre II du livre I er du code de la consommation est ainsi modifié : 1° À l’intitulé, les mots : « interdites et pratiques commerciales règlementées » sont supprimés ; 2° Il est jouté un chapitre ainsi rédigé : « Chapitre ... « Pratiques commerciales encouragées « Section ... « Vente de produits non pré‑emballés « Art. L. …. ‑ Dan […]	Tout consommateur final peut demander à être servi dans un contenant apporté par ses soins, dans la mesure où ce dernier est visiblement propre et adapté à la nature du produit acheté.	//www.senat.fr/amendements/2018-2019/728/Amdt_174.html
juste	b5d9e644cdf7880e	senat	98	Adopté	LE GOUVERNEMENT	JORFDOLE000050427907	L621-7	LEGIARTI000051560155:0	60	sans visée	1	vent agir devant la juridiction civile pour faire cesser ou	Alinéas 114 à 116 Remplacer ces alinéas par un alinéa ainsi rédigé : « Art. L. 621‑7. – Les associations mentionnées à l’article L. 621‑1 peuvent agir devant la juridiction civile pour faire cesser ou interdire tout agissement illicite portant directement ou indirectement atteinte à l’intérêt collectif des consommateurs. » ;	Les associations mentionnées à l'article L. 621-1 peuvent agir devant la juridiction civile pour faire cesser ou interdire tout agissement illicite portant directement ou indirectement atteinte à l'intérêt collectif des consommateurs.	//www.senat.fr/amendements/2024-2025/402/Amdt_98.html
